№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3452,Посев опер. материалла,Услуга,Лабораторные анализы,,,единица,2200.0
4928,Посев пунктата из грудной полости ( 24 аб+бф),Услуга,Лабораторные анализы,,,единица,2500.0
4926,Посев пунктата из грудной полости ( 12 АБ+БФ+АМ),Услуга,Лабораторные анализы,,,единица,2300.0
4106,Посев раневого отделяемого 16.54,Услуга,Манипуляции,,,единица,2000.0
4108,Послеоперационный осмотр,Услуга,Манипуляции,,,единица,1000.0
4110,Постановка желудочного зонда,Услуга,Манипуляции,,,единица,1000.0
4112,Почечный профиль,Услуга,Манипуляции,,,единица,1500.0
4810,Преднифарм 40мг,Товар,Медматериалы,Лечение,,шт,400.0
2738,преднифарм солютаб 16 мг,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,350.0
2740,"Преднифарм Солютаб 4 МГ, 20 табл.",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","240.0, 240.0"
2742,ПреОтик SQ,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,950.0
2744,ПреОтик tris,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,950.0
2746,ПреОтик АВ,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,950.0
4062,Прием врача-дерматолога/эндокринолога,Услуга,Манипуляции,,,единица,2700.0
4060,Прием врача-невролога,Услуга,Манипуляции,,,единица,2700.0
3594,Прием диетолога (составление рациона),Услуга,Терапия,,,единица,2500.0
4120,Применение сыворотки,Услуга,Манипуляции,,,единица,200.0
2748,Про-Колин 60мл.,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2600.0
2750,"Про-Колин, корм. добавка, 15 мл",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1400.0
2752,"Про-Колин, корм. добавка, 30 мл",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,2050.0
4122,Промывание параанальных синусов,Услуга,Манипуляции,,,единица,1000.0
4124,Промывание препуциального мешка/ влагалища,Услуга,Манипуляции,,,единица,250.0
4126,"Промывание раны, дренажа 1 категории",Услуга,Манипуляции,,,единица,500.0
4128,"Промывание раны, дренажа 2 категории",Услуга,Манипуляции,,,единица,1000.0
4130,"Промывание раны, дренажа 3 категории",Услуга,Манипуляции,,,единица,1800.0
4132,"Промывание раны, дренажа 4 категории",Услуга,Манипуляции,,,единица,2300.0
4134,Промывание слезно-носовых каналов,Услуга,Манипуляции,,,единица,1200.0
4136,Промывание слухового прохода (за одно ухо),Услуга,Манипуляции,,,единица,700.0
4138,Промывание уретрального катетера,Услуга,Манипуляции,,,единица,500.0
4140,Пункция абсцесса или гематомы 1 категории,Услуга,Манипуляции,,,единица,500.0
4142,Пункция абсцесса или гематомы 2 категории,Услуга,Манипуляции,,,единица,1000.0
4144,ПХО раны 1 категории,Услуга,Манипуляции,,,единица,1500.0
4146,ПХО раны 2 категории,Услуга,Манипуляции,,,единица,2100.0
4148,ПХО раны 3 категории,Услуга,Манипуляции,,,единица,3100.0
4150,ПХО раны 4 категории,Услуга,Манипуляции,,,единица,6700.0
4728,рабикан,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
2758,Рабикс,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,99.5
4732,Рабифел,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
4152,Расширенная биохимия,Услуга,Манипуляции,,,единица,2500.0
3454,Расширенный анализ крови,Услуга,Лабораторные анализы,,,единица,1100.0
4154,Расшифровка рентгеновского снимка,Услуга,Манипуляции,,,единица,1500.0
4156,Расшифровка серии рентгеновских снимков,Услуга,Манипуляции,,,единица,5100.0
4158,Реанимация (без стоимости медикаментов),Услуга,Манипуляции,,,единица,2900.0
4160,Реанимация новорожденного (за одного),Услуга,Манипуляции,,,единица,500.0
4162,Резекция кишки с наложением анастомоза 1 категория,Услуга,Манипуляции,,,единица,9500.0
4164,Резекция кишки с наложением анастомоза 2 категории,Услуга,Манипуляции,,,единица,10500.0
2762,РЕКАВЕРИГЕЛЬ,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1050.0
4166,Ректальное/вагинальное исследование,Услуга,Манипуляции,,,единица,500.0
4168,Рентген 2 проекции,Услуга,Манипуляции,,,единица,2000.0
4170,Рентген Кардиология,Услуга,Манипуляции,,,единица,1500.0
4172,Респираторный профиль кошек ПЦР,Услуга,Манипуляции,,,единица,3000.0
2902,"Рингер-локка,100 мл",Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,100.0
4174,Ринопластика у кошек,Услуга,Манипуляции,,,единица,9000.0
4176,Ринопластика у собак,Услуга,Манипуляции,,,единица,10000.0
4178,С- реактивный белок,Услуга,Манипуляции,,,единица,2000.0
4180,С-реактивный белок,Услуга,Манипуляции,,,единица,2000.0
4182,Сальмонеллез ПЦР,Услуга,Манипуляции,,,единица,1000.0
4184,Санация параанальных синусов,Услуга,Манипуляции,,,единица,500.0
4192,Санация ротовой полости кошка с удалением до 5,Услуга,Манипуляции,,,единица,11300.0
4196,Санация ротовой полости III категории (с удалением 10-20кг),Услуга,Манипуляции,,,единица,14100.0
4198,Санация ротовой полости III категории (с удалением 20-40кг),Услуга,Манипуляции,,,единица,19300.0
4892,Санация ротовой полости кошка,Услуга,Манипуляции,,,единица,7100.0
4188,Санация ротовой полости собака 10-20 кг,Услуга,Манипуляции,,,единица,15100.0
4906,Санация ротовой полости собака 10-20 кг с удалением до 10 зубов,Услуга,Манипуляции,,,единица,17300.0
4896,Санация ротовой полости собака 10-20 кг с удалением до 5 зубов,Услуга,Манипуляции,,,единица,14100.0
4190,Санация ротовой полости собака 20-40кг,Услуга,Манипуляции,,,единица,17300.0
4908,Санация ротовой полости собака 20-40кг с удалением до 10зубов,Услуга,Манипуляции,,,единица,19300.0
4898,Санация ротовой полости собака 20-40кг с удалением до 5 зубов,Услуга,Манипуляции,,,единица,15100.0
4888,Санация ротовой полости собака 5-10 кг,Услуга,Манипуляции,,,единица,11700.0
4904,Санация ротовой полости собака 5-10 кг с удалением до 10 зубов,Услуга,Манипуляции,,,единица,15100.0
4894,Санация ротовой полости собака 5-10 кг с удалением до 5 зубов,Услуга,Манипуляции,,,единица,13900.0
4890,Санация ротовой полости собака больше 40кг,Услуга,Манипуляции,,,единица,23100.0
4910,Санация ротовой полости собака больше 40кг с удалением до 10 зубов,Услуга,Манипуляции,,,единица,23300.0
4900,Санация ротовой полости собака больше 40кг с удалением до 5 зубов,Услуга,Манипуляции,,,единица,17900.0
4886,Санация ротовой полости собака до 5 кг,Услуга,Манипуляции,,,единица,7100.0
