№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4854,кранч д/кошек Улитка с мятой,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,260.0
4958,Кранч д/собак жираф,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
4960,Кранч д/собак какаду,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
4966,кранч д/собак кольцо голубое,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,630.0
4964,кранч д/собак кольцо двойное голубое,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1300.0
4824,"Крафтия, д/кошек, гармона4,5 кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,7000.0
3996,Криптоспоридиоз ПЦР,Услуга,Манипуляции,,,единица,1500.0
3998,Кровь общеклиническое исследование (взятие входит),Услуга,Манипуляции,,,единица,1000.0
2430,Курс УСПОКОИН д/кошек,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,1200.0
3024,Курс успокоин для крупных кошек 16 таблеток,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1400.0
3026,курс успокоин для собак мелких пород 16 таблеток,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1400.0
2436,Лаймсульфур,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2438,Лайна 5 л канистра,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,4940.0
4796,"лайна для животных масло пихты 0,5 л",Товар с учетом,товары,,,шт,850.0
4792,лайна для животных масло пихты 5 литров,Товар,товары,,"Товары (НДС 5%, УСН доход)",шт,0.0
4794,"лайна мимоза 0,5 л",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,600.0
2440,"Лайна/ витавет 0,3 л флакон",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,600.0
2442,"Лайна/витавет 0,5 л флакон",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,850.0
2466,"Лак д/собак ""зуб. щетки со вкусом курицы""",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,320.0
2456,Лакомства для пациентов клиники собаки подушки с ягненком,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,120.0
3012,лакомство с говядиной в форме соломки для собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,350.0
