№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4302,Сывороточный амилоид,Услуга,Манипуляции,,,единица,2000.0
3136,таблеткодаватель для животных,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,200.0
4304,Тарзорафия,Услуга,Манипуляции,,,единица,11200.0
4306,Тест с флуоресцином,Услуга,Манипуляции,,,единица,400.0
4308,Тест Ширмера,Услуга,Манипуляции,,,единица,300.0
4310,ТИАБ по контролем узи,Услуга,Манипуляции,,,единица,2000.0
4312,Тироксин (Т 4),Услуга,Манипуляции,,,единица,1500.0
4314,Токсокароз IgG,Услуга,Манипуляции,,,единица,1800.0
4316,Токсоплазмоз пцр,Услуга,Манипуляции,,,единица,1000.0
4318,Торакоцентез,Услуга,Манипуляции,,,единица,1000.0
4320,Торакоцентез с удалением жидкости,Услуга,Манипуляции,,,единица,2000.0
4194,Тотальное удаление зубов у кошки 1 сторона,Услуга,Манипуляции,,,единица,19900.0
4322,Трихомониаз IgG,Услуга,Манипуляции,,,единица,1300.0
4324,Трихомоноз ПЦР,Услуга,Манипуляции,,,единица,1000.0
4326,ТТГ,Услуга,Манипуляции,,,единица,1500.0
4920,Удаление временных клыков,Услуга,Манипуляции,,,единица,1500.0
4328,Удаление вросшего или сломаного когтя,Услуга,Манипуляции,,,единица,1200.0
4330,Удаление глазного яблока,Услуга,Манипуляции,,,единица,6500.0
4332,Удаление голосовых связок,Услуга,Манипуляции,,,единица,5000.0
4912,Удаление зубов постоянных простое,Услуга,Манипуляции,,,единица,500.0
4914,Удаление зубов постоянных сложное 1 кат.,Услуга,Манипуляции,,,единица,1500.0
4334,Удаление инородного тела 1 категория,Услуга,Манипуляции,,,единица,1000.0
4916,Удаление инородного тела 2 категория,Услуга,Манипуляции,,,единица,2000.0
4918,Удаление инородного тела3 категория,Услуга,Манипуляции,,,единица,2500.0
4336,Удаление лесного клеща,Услуга,Манипуляции,,,единица,500.0
4338,Удаление новообразований 1 категории,Услуга,Манипуляции,,,единица,2000.0
4340,Удаление новообразований 2 категории,Услуга,Манипуляции,,,единица,7000.0
4342,Удаление новообразований 3 категории,Услуга,Манипуляции,,,единица,8500.0
4344,УЗИ 1 органа,Услуга,Манипуляции,,,единица,1000.0
4346,УЗИ брюшной полости и забрюшинного пространства,Услуга,Манипуляции,,,единица,2500.0
4348,УЗИ грудной клетки,Услуга,Манипуляции,,,единица,2900.0
4350,УЗИ системы,Услуга,Манипуляции,,,единица,1700.0
4352,Уретростомия -2 категория,Услуга,Манипуляции,,,единица,17700.0
4354,Уретростомия 1кат,Услуга,Манипуляции,,,единица,13100.0
2816,Фармина CONVALESCENCE кошки,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,220.0
2818,Фармина CONVALESCENCE собаки,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,440.0
2820,Фармина gastro кошки,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,220.0
3102,Фармина гастро собаки,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,450.0
2822,Фебтал,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,450.0
3120,"феливей френдс,48 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,2300.0
