№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
3764,805 Дополнительное окрашивание (3 красителя),Услуга,Манипуляции,,,единица,1700.0
3766,"810 Цитология пунктатов, мазков-отпечатков, соскобов",Услуга,Манипуляции,,,единица,1600.0
3768,811 Цитология соскоба,Услуга,Манипуляции,,,единица,1600.0
3770,812 Цитология мазок-отпечаток,Услуга,Манипуляции,,,единица,1600.0
3772,"823 Цитология крови/лейкоконцентрат, неокрашенный препарат",Услуга,Манипуляции,,,единица,2400.0
3774,"824 Цитология влагалищных мазков, пунктатов молочной железы",Услуга,Манипуляции,,,единица,1600.0
3776,825 Цитология мочи,Услуга,Манипуляции,,,единица,1600.0
3778,881 Колоноскопия (3 локации),Услуга,Манипуляции,,,единица,6000.0
3780,901 Витамин В9,Услуга,Манипуляции,,,единица,1200.0
3782,902 Витамин В12,Услуга,Манипуляции,,,единица,1200.0
3784,903 Витамины В9 и В12,Услуга,Манипуляции,,,единица,2000.0
3786,920 Фракции белков,Услуга,Манипуляции,,,единица,1600.0
3788,951 Изониазид крови,Услуга,Манипуляции,,,единица,7500.0
3790,V6 Витамины В9 и В12,Услуга,Манипуляции,,,единица,2600.0
3792,а-Амилаза,Услуга,Манипуляции,,,единица,800.0
4862,авард вл/корм д/собак паштет с цукини,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,200.0
4860,авард вл/корм д/собак паштет с горошком,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,200.0
4864,авард вл/корм д/собак- паштет из лосося,Товар с учетом,Препараты,Лечение,"Товары (НДС 5%, УСН
доход)",шт,200.0
3146,Авард д/ взр.собак сред. пор.,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,1400.0
3200,Авард для кот паучи индейка,Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",шт,85.0
3142,Авард сух д/щенков (1 мес) с ябл.,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,800.0
3140,Авард сух. д/щенков от 1 мес.,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт.,800.0
3138,Авард сух. для взр собак всех пор,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт.,1700.0
3144,Авард сух. с белой рыбой,Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,1800.0
2106,"Авекардит 1,25 мг для собак",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН
доход)",шт,1900.0
2108,авекардит 5 мг для собак,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН
доход)",шт,2800.0
3794,Аденовироз респираторный ПЦР,Услуга,Манипуляции,,,единица,1000.0
3240,"Аджо, гастро, кошки, 1.5 кг.",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,1900.0
3250,"Аджо, гастро, кошки, 400 гр.",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,550.0
3244,"Аджо, гастро, собаки, 2 кг.",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,2200.0
3248,"Аджо, гастро, собаки, 800 гр",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,850.0
3242,"Аджо, ренал, кошки, 1.5 кг.",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,2100.0
3246,"Аджо, струвиты, кошки, 1.5 кг.",Товар с учетом,Корма,Лечение,"Товары (НДС 5%, УСН
доход)",упак,1850.0
3276,"Амклав, 250 мг №10",Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,500.0
3266,"Амклав, 50 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,300.0
3278,"амклав,100 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,430.0
3280,"амклав,500 мг",Товар с учетом,товары,,"Товары (НДС 5%, УСН
доход)",шт,700.0
3038,амоксициллин,Товар с учетом,товары,,,шт,450.0
2114,Амоксициллин 20 мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН
доход)","мл,шт","450.0, 450.0"
4482,Ампутация рудиментарных фаланг 1 категории от 7- ми дневного возраста,Услуга,Хирургия,,,единица,2000.0
4484,Ампутация рудиментарных фаланг 2 категориии от 7- ми дневного возраста,Услуга,Хирургия,,,единица,3000.0
4486,Ампутация рудиментарных фаланг до 7-ми дневного возраста,Услуга,Хирургия,,,единица,500.0
4488,Ампутация хвоста 1 категории старше 7-ми дневного возраста,Услуга,Хирургия,,,единица,2000.0
4490,Ампутация хвоста 2 категории старше 7-ми дневного возраста,Услуга,Хирургия,,,единица,4000.0
4492,Ампутация хвоста до 7-ми дневного возраста,Услуга,Хирургия,,,единица,400.0
3432,Анализ кала,Услуга,Лабораторные анализы,,,единица,1000.0
3434,Анализ мочи,Услуга,Лабораторные анализы,,,единица,800.0
3436,Анализ мочи расширенный( неовет),Услуга,Лабораторные анализы,,,единица,1300.0
3796,Анаплазмоз ПЦР,Услуга,Манипуляции,,,единица,1000.0
3798,Анестезия инфильтрационная,Услуга,Манипуляции,,,единица,400.0
3800,Анестезия поверхностная,Услуга,Манипуляции,,,единица,100.0
