Категория,Название товара,Цена
Манипуляции,071 Микоплазмоз птиц,1000
Манипуляции,072 Микоплазмоз птиц (M.synoviae),1400
Манипуляции,073 Трансписсивные заболевания собак ПЦР,2000
Манипуляции,074 Комби тест (Вирусный лейкоз+вир.иммунодефецит кошек),2300
Манипуляции,075 Токсоплазмоз антитела ИФА,1500
Манипуляции,"076 Комплексная диаггностика токсоплазмоза (ИФА, ПЦР)",1500
Манипуляции,078 Контроль вакцинации у кошек,3200
Манипуляции,079 Титр антител класса М (Ig M) к парвовирусу и чуме собак,3000
Манипуляции,081 Титр антител к лептоспирозу,3100
Манипуляции,082 Титр антител к эрлихиозу,2500
Манипуляции,"083 Бордетеллез, ПЦР",1400
Манипуляции,084 Гемобартенеллез,1000
Манипуляции,085 Титр антител к бурцеллезу,1500
Манипуляции,086 Респираторные инфекции кошек ПЦР,2700
Манипуляции,"087 Бабезиоз собак (комплекс 2 вида, ПЦР)",1500
Манипуляции,088 Mycoplasma canis. Mycoplasma cynos собак,1400
Манипуляции,090 Mycoplasma felis. Mycoplasma gateae кошки,1400
Манипуляции,"091 Комплекс ""Глистные инвазии собак/кошек"" ИФА IgG",1900
Манипуляции,092 Дирофиляриоз с дифференцировкой,1200
Манипуляции,095 Бруцеллез собак антитела кровь ИФА,600
Манипуляции,096 Трихомоноз ПЦР,1000
Манипуляции,112 ЛДГ,160
Манипуляции,113 ГГТ,160
Манипуляции,114 Холестерин,160
Манипуляции,115 Триглицериды,160
Манипуляции,116 КФК,180
Манипуляции,117 Калий,200
Манипуляции,118 Натрий,200
Манипуляции,119 Фосфор,160
Манипуляции,120 Кальций,180
Манипуляции,121 Железо,160
Манипуляции,122 Магний,160
Манипуляции,123 Хлор,200
Манипуляции,124 Кислотность,200
Манипуляции,125 Мочевая кислота,160
Манипуляции,126 Кислотная фосфотаза,180
Манипуляции,127 Холинэстераза,160
Манипуляции,128 Липаза,200
Манипуляции,131 Фруктозамин,600
Манипуляции,133 Панкреатинлипаза собак,2500
Манипуляции,134 Кальций ионизированный,600
Манипуляции,135 Желчные кислоты  1 проба,1400
Манипуляции,136 Желчные кислоты 2 пробы,2200
Манипуляции,137 Панкреатинлипаза кошек,2500
Терапия,Прием диетолога (составление рациона),2500
Манипуляции,140 Биохимическое исследование выпотов,1000
Манипуляции,141 Соотношение альбумин/глобулин (выпотная жидкость),300
Манипуляции,"152 С-реактивный белок,",1000
Манипуляции,154 Тропонин I,1100
Манипуляции,155 SDMA,4500
Манипуляции,201В Общий анализ крови птицы/рептилии,1100
Манипуляции,202 Исследование Системы гемостаза,1600
Манипуляции,"203 Кровь, тест на совместимость",500
Манипуляции,204 Определение групп крови кошек (серологический анализ),2500
Манипуляции,205 Ретикулоциты,450
Манипуляции,207 Общий анализ крови + СОЭ,1000
Манипуляции,211 АЧТВ,600
Манипуляции,212 Тромбиновое время,600
Манипуляции,213 Протромбиновое время,600
Манипуляции,214 Фибриноген,600
Манипуляции,215 ACT-Vet ube экспресс,1200
Манипуляции,217 Подсчет лейкоцитарной формулы,400
Манипуляции,218 Группа крови собак DEA 1.1,2500
Манипуляции,280 Белок ликвора (количеств),150
Манипуляции,290 Белок выпота (количество),150
Манипуляции,292 Альбумин выпот,150
Манипуляции,295 Глюкоза выпот,150
Манипуляции,297 Триглицериды выпот,150
Манипуляции,303 Предпологаемый день овуляции (цитограмма),1100
Манипуляции,309 Натрий мочи,220
Манипуляции,313 Белок мочи (количеств),250
Манипуляции,314 Глюкоза мочи,200
Манипуляции,315 Креатинин мочи,200
Манипуляции,316 Мочевина мочи,200
Манипуляции,326 Комплексное биохимическое исследование мочи,1800
Манипуляции,340- спектральный анализ конкрементов,3700
Манипуляции,"401 Кал, общеклиническое исследование",1500
Манипуляции,402 Яйца гельминтов и простейшие в кале,1500
Манипуляции,403 Дизбактериоз,2900
Манипуляции,404 Панкреатическая эластаза,3200
Манипуляции,405 Исследования кала на скрытую кровь (с соблюдением диеты),400
Манипуляции,4217 Пастерилез,1000
Манипуляции,4218 Клостридиоз/Энтеротоксин,2000
Манипуляции,4501 Неоспороз,1000
Манипуляции,502 Кровопаразитарные инвазии (микроскопия),700
Манипуляции,503 Дирофляриоз,700
Манипуляции,504 Определение вида гельминта,500
Манипуляции,505 Анализ на дрожжевые грибы (микроскопия),700
Манипуляции,"506 Микроскопия ушного содержимого (эктопаразиты, дрожжи)",850
Манипуляции,601 Тестостерон,1200
Манипуляции,602 Эстрадиол,1200
Манипуляции,603 ТТГ Собак,1600
Манипуляции,604 Т4 общий,1600
Манипуляции,605 Тироксин Т-4 свободный,1600
Манипуляции,606 Трийодтиронин (Т 3),1200
Манипуляции,608 Кортизол в моче,900
Манипуляции,611 Альдостерон,1400
Манипуляции,612 Паратгормон,1800
Манипуляции,614 АКТГ,1500
Манипуляции,615 Андростендион,1800
Манипуляции,"617 Кортизол, креатинин соотношение в моче",1200
Манипуляции,"622 Дексаметазоновая проба (3 пробы на кортизол, МДП или БДП)",2800
Манипуляции,625 Тест стимуляции АКГТ (2 пробы на кортизол),1500
Манипуляции,626 Тест стимуляции АКГТ (2 пробы на альдостерон),2200
Манипуляции,627 Дексаметазоновая проба (2 пробы на кортизол),1500
Манипуляции,670 Антимюллеров гормон,1800
Манипуляции,6886 Респираторные инфекции кошек,3000
Манипуляции,6973 Трансимиссивные болезни собак,3000
Манипуляции,"701 Бактериологический анализ СКРИНИНГ, с подтитровкой к антибиотикам",1700
Манипуляции,703 Комплексный анализ СКРИНИНГ,2100
Манипуляции,704 Облигатные анаэробы (Скрининг),1100
Манипуляции,705 Определение чувствительности возбудителя к доп антибиотику или фагу,350
Манипуляции,706 Исследование крови на стерильность,1600
Манипуляции,"707 Мазок, микроскопия",900
Манипуляции,715 Бактериологический анализ СКРИНИНГ без подтитровки к антибиотикам,1600
Манипуляции,"716 Бактериологический анализ количественный, с подтитровкой к антибиотикам и фагам",1700
Манипуляции,717 Микологический анализ количественный,1400
Манипуляции,719 Посев содержимого абсцесса на актиномикоз,1200
Манипуляции,720 Определение чувствительности е антибиотику по выбору из списка,350
Манипуляции,"721 Бактериологический анализ количественный, без подтитровки к антибиотикам и фагам",1000
Манипуляции,722 Комплексный анализ СКРИНИНГ без дермафитов,1900
Манипуляции,"723 Бактериологический анализ мочи количественный, с подтитровкой к нитрофуранам и сульфаниламидам",1700
Манипуляции,726 Посев на стрептококки гр В,1200
Манипуляции,727 Посев на уреаплазмы,1900
Манипуляции,728 Посев на сальмонеллез,1200
Манипуляции,"729 Комплексный посев мочи, количественный",2300
Манипуляции,750 Расширенный список антибиотиков 16шт,1100
Манипуляции,"801 Цитология выпотов, экссудатов/транссудатов (биохимия+цитология)",2100
Манипуляции,802 Миелограмма,2500
Манипуляции,805 Дополнительное окрашивание (3 красителя),1700
Манипуляции,"810 Цитология пунктатов, мазков-отпечатков, соскобов",1600
Манипуляции,811 Цитология соскоба,1600
Манипуляции,812 Цитология мазок-отпечаток,1600
Манипуляции,"823 Цитология крови/лейкоконцентрат, неокрашенный препарат",2400
Манипуляции,"824 Цитология влагалищных мазков, пунктатов молочной железы",1600
Манипуляции,825 Цитология мочи,1600
Манипуляции,881 Колоноскопия (3 локации),6000
Манипуляции,901 Витамин В9,1200
Манипуляции,902 Витамин В12,1200
Манипуляции,903 Витамины В9 и В12,2000
Манипуляции,920 Фракции белков,1600
Манипуляции,951 Изониазид крови,7500
Манипуляции,V6 Витамины В9 и В12,2600
Манипуляции,а-Амилаза,800
Манипуляции,Аденовироз респираторный ПЦР,1000
Манипуляции,Анаплазмоз ПЦР,1000
Манипуляции,Анестезия инфильтрационная,400
Манипуляции,Анестезия поверхностная,100
Манипуляции,Анестезия экзотических животных 2 кат,2000
Манипуляции,Анестезия экзотических животных 3 кат,2800
Манипуляции,Анестезия экзотических животных 4 кат,3600
Манипуляции,Анестезия экзотических животных 5 кат,4500
Манипуляции,Анестезия эктотических животных 1 кат,1500
Манипуляции,Анестезия эпидуральная,600
Манипуляции,Аскаридоз IgG,1300
Манипуляции,Биохимическое исследование 1 показатель,160
Манипуляции,Биохимия для пожилых кошек,2700
Манипуляции,Биохимия стандартная/Электролиты,2200
Манипуляции,Боррелиоз/болезнь Лайма   ПЦР,1400
Манипуляции,"Бруцеллез собак, ПЦР",1100
Манипуляции,БХ 1 показатель-неовет,120
Манипуляции,Введение капель в глаза/ушной проход,300
Манипуляции,Введение препарата перорально/ректально 1 категория,300
Манипуляции,Введение препарата перорально/ректально 2 категория,300
Манипуляции,Вегетативные формы простейших,500
Манипуляции,Венесекция,800
Манипуляции,Ветстандарт,2000
Манипуляции,Взятие крови,500
Манипуляции,Взятие крови у донора для переливания,1000
Манипуляции,"Взятие соскоба, мазка",300
Манипуляции,Взятие цитологии,400
Манипуляции,Вирусная лейкемия кошек (выявление антигена р27) ИФА,2300
Манипуляции,Вирусная лейкемия кошек пцр днк ( провирус FeLV),1900
Манипуляции,Вирусная лейкемия кошек РНК,1500
Манипуляции,Вирусный иммунодефицит кошек  Ig ИФА,2000
Манипуляции,Вирусный иммунодефицит кошек пцр,1900
Манипуляции,Вирусный перитонит кошек,1000
Манипуляции,Вирусный перитонит/корона ( титр) ИФА,3000
Манипуляции,Вирусный перитонит/корона Ig ИФА,2800
Манипуляции,Вирусный ринотрахеит кошек,1400
Манипуляции,Внутривенная инъекция,100
Манипуляции,Внутримышечная иньекция,50
Манипуляции,ВС7 Электролиты крови,1600
Манипуляции,"Выезд Ассистента 10-20 км от Звенигорода (без стоимости материалов, манипуляций)",3500
Манипуляции,"Выезд Ассистента до 10 км от Звенигорода (без стоимости материалов, манипуляций)",3000
Манипуляции,Выезд Ассистента по Звенигороду (без стоимости материалов и манипуляций),2500
Манипуляции,"Выезд вет. Врача 10-20 км от Звенигорода (без стоимости материалов, манипуляций)",3800
Манипуляции,Выезд вет. Врача до 10 км Звенигород (без стоимости материалов и манипуляций),3200
Манипуляции,Выезд вет. Врача по Звенигороду (без стоимости материалов и манипуляций),2800
Манипуляции,Выписка из истории болезни,2000
Манипуляции,Выстригание колтунов,1000
Манипуляции,Гемобартонеллез кошек c дифференц,1600
Манипуляции,Герпесвирус собак,3700
Манипуляции,Гист. исследование образца (CITO) 2 стекла ZE100,2800
Манипуляции,Гист. исследование образца (CITO) 3-4 стекла ZE101,3500
Манипуляции,Глюкоза крови экспресс,200
Манипуляции,Глюкоза крови экспресс в стационаре,1000
Манипуляции,Гостиница 1 сутки кошка или собака до 5 кг,1000
Манипуляции,Гостиница 1 сутки собака от 10 до 15 кг,1700
Манипуляции,Гостиница 1 сутки собака от 5 до 10 кг,1300
Манипуляции,Груминг кошки,3000
Манипуляции,Груминг собаки,2500
Манипуляции,Группы крови кошек,3700
Манипуляции,Дирофиляриоз,1500
Манипуляции,Дирофиляриоз анаплазмоз боррелиоз эрлихиоз SNAP 4 Dx,2000
Манипуляции,Дирофиляриоз микроскопия,500
Манипуляции,Дирофиляриоз собак canine heatworm SNAP idexx,1500
Манипуляции,Желчные кислоты 1 проба,1000
Манипуляции,Желчные кислоты 2 пробы,2000
Манипуляции,Измерение артериального давления тонометром,300
Манипуляции,Интубация трахеи,800
Манипуляции,Инфузия 1 кат внутривенная в стационаре,1800
Манипуляции,Инфузия 2 кат внутривенная в стационаре,2100
Манипуляции,Инфузия 3 кат внутривенная в стационаре,2400
Манипуляции,Инфузия внутривенная  (капельница до 3-х часов),1800
Манипуляции,Инфузия внутривенная 1 кат  (капельница до 3-х часов),2100
Манипуляции,Инфузия внутривенная 2 кат  (капельница до 3-х часов),2400
Манипуляции,Инфузия внутривенная 3 кат  (капельница до 3-х часов),2700
Манипуляции,Инфузия внутривенная в стационаре,1500
Манипуляции,Инфузия дополнительный час,1200
Манипуляции,Инфузия по СТОРОННЕМУ НАЗНАЧЕНИЮ (до 3-х часов),3600
Манипуляции,Инфузия подкожная,700
Манипуляции,Инфузия подкожная по СТОРОННЕМУ НАЗНАЧЕНИЮ,1000
Манипуляции,Инъекция 1 кат ПО СТОРОННЕМУ НАЗНАЧЕНИЮ,400
Манипуляции,"Инъекция 1 кат. внутримышечная/подкожная, во внутривенный катетер",200
Манипуляции,Инъекция 2 кат ПО СТОРОННЕМУ НАЗНАЧЕНИЮ,800
Манипуляции,"Инъекция 2 кат. внутримышечная/подкожная, во внутривенный катетер",250
Манипуляции,"Инъекция 3 кат. внутримышечная/подкожная, во внутривенный катетер",400
Манипуляции,"Инъекция 4 кат. внутримышечная/подкожная, во внутривенный катетер",900
Манипуляции,"Инъекция внутримышечная/подкожная, во внутривенный катетер",200
Манипуляции,Инъекция внутрисуставная,500
Манипуляции,Калицивироз кошек (FCV) ПЦР,1400
Манипуляции,Кампилобактериоз ПЦР,900
Манипуляции,Катетеризация вены,600
Манипуляции,"Катетеризация вены сложная (тяжелое состояние, щенки, котята, мелкие и экзотические животные)",1100
Манипуляции,Катетеризация мочевого пузыря кобеля,500
Манипуляции,Катетеризация мочевого пузыря кота,500
Манипуляции,Катетеризация мочевого пузыря кота при обструкции уретры (1 категория),1500
Манипуляции,Катетеризация мочевого пузыря кота при обструкции уретры (2 категория),2500
Манипуляции,"Катетеризация мочевого пузыря суки, кошки",1000
Манипуляции,"Кислородная камера, содержание 30 минут",700
Манипуляции,Клещевые инвазии собак ПЦР,2200
Манипуляции,Клостридиальный энтертоксин,900
Манипуляции,Коронавирусный гастроэнтерит ПЦР,1400
Манипуляции,Кортизол крови,1100
Манипуляции,Криптоспоридиоз ПЦР,1500
Манипуляции,Кровь общеклиническое исследование (взятие входит),1000
Манипуляции,Лапароцентез,1000
Манипуляции,Лапароцентез с удалением жидкости,1500
Манипуляции,"Лекарственный мониторинг - базовый уровень (фенобарбитал, паглюферал)",3500
Манипуляции,Прием Главного Врача,3000
Манипуляции,Лептоспириоз ПЦР,1000
Манипуляции,Люминисцентная диагностика,300
Манипуляции,Лямблиоз  ПЦР,1500
Манипуляции,Лямблиоз ПЦР,1400
Манипуляции,Массаж мочевого пузыря,300
Манипуляции,Микоплазмоз spp.,1000
Манипуляции,Микроскопия мазка из НСП (ВЦ),600
Манипуляции,Микроскопия мазка крови на пироплазмоз (ВЦ),1000
Манипуляции,Микроскопия мазка с кожи (ВЦ),600
Манипуляции,Микроскопия мазка эктопаразиты (ВЦ),600
Манипуляции,Микроскопия нативного ректального мазка (ВЦ),600
Манипуляции,"Наружная обработка спреем, каплями, мазью 1кат.",400
Манипуляции,"Наружная обработка спреем, каплями, мазью 2кат.",500
Манипуляции,Общий анализ крови + лейкоформула(без соэ),1000
Манипуляции,Общий клинический анализ мочи ВЦ,800
Манипуляции,Оксигенотерапия 15 минут,500
Манипуляции,Описторхоз IgG,1300
Манипуляции,Очистительная клизма глубокая,2500
Манипуляции,Очистительная клизма простая,1000
Манипуляции,Паластика ушей,1000
Манипуляции,Палатопластика 1 кат,8000
Манипуляции,Палатопластика 2 кат,9000
Манипуляции,Палатопластика 3 кат,10800
Манипуляции,Панкреатическая липаза кошек/собак,2000
Манипуляции,"Панлейкопения кошек, ПЦР",1400
Манипуляции,Парвовирусная инфекция собак ПЦР,1400
Манипуляции,Прием врача-невролога,2700
Манипуляции,Прием врача-дерматолога/эндокринолога,2700
Манипуляции,Повторный прием ратолога,2000
Манипуляции,Повторный прием Главного Врача,2900
Манипуляции,Повторный прием врача-офтальмолога,2000
Манипуляции,Повторный прием врача-кардиолога  (включает ЭХО),2500
Манипуляции,Повторный прием Врача Стоматолога,2100
Манипуляции,Перевязка 1 категории,200
Манипуляции,Перевязка 2 категории,300
Манипуляции,Перевязка 3 категории,600
Манипуляции,Переливание крови (гемотрансфузия),2000
Манипуляции,Перикардиоцентез,2000
Манипуляции,Пироплазмоз общий ( babesia spp)  ПЦР,1000
Манипуляции,Пластика век 1 категории за 1 глаз,3700
Манипуляции,Пластика век 2 категории за 1 глаз,6500
Терапия,Повторный прием врача,1500
Манипуляции,Повторный прием Ведущего врача,1900
Манипуляции,Первичный прием ратолога,2500
Манипуляции,Первичный прием Онколога,2700
Манипуляции,Первичный прием животных семейства куньи,1900
Манипуляции,Первичный прием герпетолога,1500
Манипуляции,Первичный прием врача-офтальмолога,2700
Манипуляции,Посев мочи ( 12 АБ+БФ+АМ),2300
Манипуляции,Посев раневого отделяемого 16.54,2000
Манипуляции,Послеоперационный осмотр,1000
Манипуляции,Постановка желудочного зонда,1000
Манипуляции,Почечный профиль,1500
Манипуляции,Первичный прием врача-кардиолога (включает ЭХО),3700
Манипуляции,Первичный прием Врача Стоматолога,2500
Терапия,Первичный прием врача,1700
Манипуляции,Применение сыворотки,200
Манипуляции,Промывание параанальных синусов,1000
Манипуляции,Промывание препуциального мешка/влагалища,250
Манипуляции,"Промывание раны, дренажа 1 категории",500
Манипуляции,"Промывание раны, дренажа 2 категории",1000
Манипуляции,"Промывание раны, дренажа 3 категории",1800
Манипуляции,"Промывание раны, дренажа 4 категории",2300
Манипуляции,Промывание слезно-носовых каналов,1200
Манипуляции,Промывание слухового прохода (за одно ухо),700
Манипуляции,Промывание уретрального катетера,500
Манипуляции,Пункция абсцесса или гематомы 1 категории,500
Манипуляции,Пункция абсцесса или гематомы 2 категории,1000
Манипуляции,ПХО раны 1 категории,1500
Манипуляции,ПХО раны 2 категории,2100
Манипуляции,ПХО раны 3 категории,3100
Манипуляции,ПХО раны 4 категории,6700
Манипуляции,Расширенная биохимия,2500
Манипуляции,Расшифровка рентгеновского снимка,1500
Манипуляции,Расшифровка серии рентгеновских снимков,5100
Манипуляции,Реанимация (без стоимости медикаментов),2900
Манипуляции,Реанимация новорожденного (за одного),500
Манипуляции,Резекция кишки с наложением анастомоза 1 категория,9500
Манипуляции,Резекция кишки с наложением анастомоза 2 категории,10500
Манипуляции,Ректальное/вагинальное исследование,500
Манипуляции,Рентген 2 проекции,2000
Манипуляции,Рентген Кардиология,1500
Манипуляции,Респираторный профиль кошек ПЦР,3000
Манипуляции,Ринопластика у кошек,9000
Манипуляции,Ринопластика у собак,10000
Манипуляции,С- реактивный белок,2000
Манипуляции,С-реактивный белок,2000
Манипуляции,Сальмонеллез ПЦР,1000
Манипуляции,Санация параанальных синусов,500
Манипуляции,Санация ротовой полости I категории (до 10кг),7100
Манипуляции,Санация ротовой полости II категории (10-20 кг),11700
Манипуляции,Санация ротовой полости II категории (20-40кг),15900
Манипуляции,Санация ротовой полости II категории (с удалением до 5),11300
Манипуляции,Санация ротовой полости II категории (с удалением),15900
Манипуляции,Санация ротовой полости III категории (с удалением 10-20кг),14100
Манипуляции,Санация ротовой полости III категории (с удалением 20-40кг),19300
Манипуляции,Санация ушных раковин,500
Манипуляции,Сеанс химиотерапии (в/в болюсное или в/м введение),2000
Манипуляции,Сеанс химиотерапии (внутривенная инфузия),3000
Манипуляции,Седация и анестезия кошки 1 кат./слож. (хирургия),2300
Манипуляции,Седация и анестезия кошки 2 кат./слож. (хирургия),3300
Манипуляции,Седация и анестезия кошки 3 кат./слож. (хирургия),5300
Манипуляции,Седация и анестезия кошки 4 кат./слож. (хирургия),5700
Манипуляции,Седация и анестезия собаки до 10 кг 1 кат./слож. (хирургия),2600
Манипуляции,Седация и анестезия собаки до 10 кг 2 кат./слож. (хирургия),4500
Манипуляции,Седация и анестезия собаки до 10 кг 3 кат./слож. (хирургия),5800
Манипуляции,Седация и анестезия собаки до 10 кг 4 кат./слож. (хирургия),6900
Манипуляции,Седация и анестезия собаки от 10 до 20 кг 1 кат./слож. (хирургия),3300
Манипуляции,Седация и анестезия собаки от 10 до 20 кг 2 кат./слож. (хирургия),5500
Манипуляции,Седация и анестезия собаки от 10 до 20 кг 3 кат./слож. (хирургия),6300
Манипуляции,Седация и анестезия собаки от 10 до 20 кг 4 кат./слож. (хирургия),7700
Манипуляции,Седация и анестезия собаки от 20 до 40 кг 1 кат./слож. (хирургия),4100
Манипуляции,Седация и анестезия собаки от 20 до 40 кг 2 кат./слож. (хирургия),5400
Манипуляции,Седация и анестезия собаки от 20 до 40 кг 3 кат./слож. (хирургия),7800
Манипуляции,Седация и анестезия собаки от 20 до 40 кг 4 кат./слож. (хирургия),9500
Манипуляции,Седация и анестезия собаки от 40 кг 1 кат./слож. (хирургия),5500
Манипуляции,Седация и анестезия собаки от 40 кг 2 кат./слож. (хирургия),6700
Манипуляции,Седация и анестезия собаки от 40 кг 3 кат./слож. (хирургия),8000
Манипуляции,Седация и анестезия собаки от 40 кг 4 кат./слож. (хирургия),10000
Манипуляции,Седация кошки (кратковременная манипуляция),1500
Манипуляции,Седация собаки до 10 кг (кратковременная манипуляция),2100
Манипуляции,Седация собаки от 10 - 20 кг (кратковременная манипуляция),2500
Манипуляции,Седация собаки от 20 - 40 кг (кратковременная манипуляция),2700
Манипуляции,Седация собаки от 40 кг (кратковременная манипуляция),3700
Манипуляции,Седация СРП 10 -20 кг II категории,9900
Манипуляции,Седация СРП 10-20 кг I категории,7900
Манипуляции,Седация СРП 10-20кг III категории,11900
Манипуляции,Седация СРП до 10 кг I категории,3400
Манипуляции,Седация СРП до 10 кг II категории,4300
Манипуляции,Седация СРП до 10 кг III категории,5500
Манипуляции,Седация СРП свыше 20 кг I категории,10100
Манипуляции,Седация СРП свыше 20 кг II категории,12300
Манипуляции,Седация СРП свыше 20 кг III категории,14700
Манипуляции,Седация ст.рентген I категории,2000
Манипуляции,Седация ст.рентген II категории,2500
Манипуляции,Сердечный профиль,2000
Манипуляции,"Снятие  катетера (в/в, уретральный)",400
Манипуляции,Снятие шва,500
Манипуляции,Содержание в стационаре кошка и собака до  10 кг до 12  часов,1000
Манипуляции,Содержание в стационаре собака свыше 10кг до 12 часов,1000
Манипуляции,Соотношение белка к креатинину. моча ВЦ,700
Манипуляции,Соотношение белок/креатинин в моче,700
Манипуляции,Спленэктомия,15100
Манипуляции,Стандартная биохимия,2300
Манипуляции,Стрижка когтей/зубов 1 категория,500
Манипуляции,Стрижка когтей/зубов 2 категория,600
Манипуляции,Стрижка когтей/зубов 2 категория с фиксацией,1300
Манипуляции,Сывороточный амилоид,2000
Манипуляции,Тарзорафия,11200
Манипуляции,Тест с флуоресцином,400
Манипуляции,Тест Ширмера,300
Манипуляции,ТИАБ по контролем узи,2000
Манипуляции,Тироксин (Т 4),1500
Манипуляции,Токсокароз IgG,1800
Манипуляции,Токсоплазмоз пцр,1000
Манипуляции,Торакоцентез,1000
Манипуляции,Торакоцентез с удалением жидкости,2000
Манипуляции,Трихомониаз IgG,1300
Манипуляции,Трихомоноз ПЦР,1000
Манипуляции,ТТГ,1500
Манипуляции,Удаление вросшего или сломаного когтя,1200
Манипуляции,Удаление глазного яблока,6500
Манипуляции,Удаление голосовых связок,5000
Манипуляции,Удаление инородного тела 1 категория,1000
Манипуляции,Удаление лесного клеща,500
Манипуляции,Удаление новообразований 1 категории,2000
Манипуляции,Удаление новообразований 2 категории,7000
Манипуляции,Удаление новообразований 3 категории,8500
Манипуляции,УЗИ 1 органа,1000
Манипуляции,УЗИ брюшной полости и забрюшинного пространства,2500
Манипуляции,УЗИ грудной клетки,2900
Манипуляции,УЗИ системы,1700
Манипуляции,Уретростомия -2 категория,17700
Манипуляции,Уретростомия 1кат,13100
Манипуляции,Фиксация животного с привлечением одного сотрудника,500
Манипуляции,Хеликобактер,1000
Манипуляции,Хламидиоз ПЦР,1400
Манипуляции,Цестодозы IgG,1300
Манипуляции,Цистотомия,11000
Манипуляции,Цистоцентез,900
Манипуляции,Цитологическое исследование транссудатов и экссудатов,1500
Манипуляции,Цитологическое исследование- лаб CITO ZC113,1700
Манипуляции,Цитология,800
Манипуляции,Цитология крови,1500
Манипуляции,Чек-АП Сеньор  (для животных 8+) (Т4 только у кошек),7700
Манипуляции,Чек-АП Сеньор  (для животных 8+) собаки,6100
Манипуляции,Чек-АП Янг (для молодых животных),4100
Манипуляции,Чипирование животного,3100
Манипуляции,Эвтаназия кошка до 6 кг ( общ. крем)- крыса,7000
Манипуляции,Эвтаназия кошка до 6 кг (индив.крем),16000
