№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4396,эвтаназия собака от 21 кг до 30 кг общ. крем,Услуга,Манипуляции,,,единица,17300.0
4972,эвтаназия собака от 21 кг до 30 кг общ. крем с выездом врача до 10 км от Звенигорода,Услуга,Манипуляции,,,единица,20500.0
4970,эвтаназия собака от 21 кг до 30 кг общ. крем с выездом врача в Звенигороде,Услуга,Манипуляции,,,единица,20100.0
4974,эвтаназия собака от 21 кг до 30 кг общ. крем с выездом врача от 10 до 20 км от звенигорода,Услуга,Манипуляции,,,единица,21100.0
4398,эвтаназия собака от 21 кг до 30 кг индив крем,Услуга,Манипуляции,,,единица,27900.0
4968,эвтаназия собака от 21 кг до 30 кг индив крем с выездом врача,Услуга,Манипуляции,,,единица,31700.0
4400,эвтаназия собака от 31 кг до 45 кг индив крем,Услуга,Манипуляции,,,единица,31700.0
4780,эвтаназия собака от 31 кг до 45 кг индив крем с выездом врача,Услуга,Манипуляции,,,единица,35500.0
4402,эвтаназия собака от 31 кг до 45 кг общ. крем,Услуга,Манипуляции,,,единица,21100.0
4776,эвтаназия собака от 31 кг до 45 кг общ. крем с выездом вр до 10 км от Звенигорода,Услуга,Манипуляции,,,единица,24300.0
4778,эвтаназия собака от 31 кг до 45 кг общ. крем с выездом вр. от 10 до 20 км от Звенигорода,Услуга,Манипуляции,,,единица,24900.0
4774,эвтаназия собака от 31 кг до 45 кг общ. крем с выездом врача в Звенигороде,Услуга,Манипуляции,,,единица,23900.0
4404,Эвтаназия собака свыше 45 кг,Услуга,Манипуляции,,,единица,25100.0
4784,Эвтаназия собака свыше 45 кг с выездом врача,Услуга,Манипуляции,,,единица,28900.0
4406,"эвтаназия хомяки, крысы, птицы - индив",Услуга,Манипуляции,,,единица,15000.0
4408,"эвтаназия хомяки, крысы, птицы - общая",Услуга,Манипуляции,,,единица,8000.0
4410,ЭКГ,Услуга,Манипуляции,,,единица,500.0
3430,Экспресс посев на дерматофиты,Услуга,Лаборатория,,,единица,1800.0
3460,Экспресс тест на кровепаразиты,Услуга,Лабораторные анализы,,,единица,1500.0
2926,Экспресс успокоин для кошек 2 таблетки,Товар с учетом,Препараты,Лечение,"Товары (НДС 5%, УСН доход)",упак,400.0
2910,экспресс успокоин для кошек 6 таблеток,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,650.0
2882,Экспресс Успокоин для собак крупных пород 6 таб,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",упак,700.0
2884,Экспресс Успокоин для собак мелких пород 6 таб,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)","упак,шт","650.0, 650.0"
4412,Экспресс-анализ мочи тест-полоской,Услуга,Манипуляции,,,единица,200.0
4414,Экспресс-тест ВИК+ВЛК ВЦ,Услуга,Манипуляции,,,единица,2300.0
4416,Экспресс-тест иммунодефицит кошек антитела кровь,Услуга,Манипуляции,,,единица,1500.0
4418,Экспресс-тест Калицивироз кошек ВЦ,Услуга,Манипуляции,,,единица,900.0
4420,Экспресс-тест коронавирус кал ВЦ,Услуга,Манипуляции,,,единица,1500.0
4422,Экспресс-тест коронавирус кал ВЦ (КОШКА),Услуга,Манипуляции,,,единица,1600.0
4424,Экспресс-тест коронавирус сыворотка ВЦ,Услуга,Манипуляции,,,единица,1200.0
4426,Экспресс-тест коронавирус сыворотка ВЦ (КОШКА),Услуга,Манипуляции,,,единица,1600.0
4428,Экспресс-тест Лейкоз ВЦ,Услуга,Манипуляции,,,единица,1500.0
4430,Экспресс-тест Панкреатинлипаза собак ВЦ,Услуга,Манипуляции,,,единица,3100.0
4432,Экспресс-тест панлейкопения кошки ВЦ,Услуга,Манипуляции,,,единица,1700.0
4434,Экспресс-тест парво+корона собаки ВЦ,Услуга,Манипуляции,,,единица,1700.0
4436,Экспресс-тест парво+корона+лямблии ВЦ,Услуга,Манипуляции,,,единица,2000.0
4438,Экспресс-тест парвовирус ВЦ,Услуга,Манипуляции,,,единица,1700.0
4440,Электролиты,Услуга,Манипуляции,,,единица,1500.0
4830,энроксил 150 мг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,800.0
4806,энроксил 50мг,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
2892,Энтерозоо суспензия 150 гр,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,650.0
2912,Энтерозоо туба 100гр.,Товар с учетом,н/д,,"Товары (НДС 5%, УСН доход)",шт,500.0
4442,Энтеротомия 2 и более разрезов,Услуга,Манипуляции,,,единица,15100.0
4444,"Энтеротомия, 1 разрез",Услуга,Манипуляции,,,единица,11500.0
4446,Эрлихиоз ПЦР,Услуга,Манипуляции,,,единица,1000.0
4448,ЭХО-скрининг (перед операцией),Услуга,Манипуляции,,,единица,1700.0
4450,ЭХО-скрининг (перед операцией)+ ЭКГ,Услуга,Манипуляции,,,единица,2600.0
4452,Яйца гельминтов и цисты простейших,Услуга,Манипуляции,,,единица,500.0
