№,Название,Тип,Группа,Категория,Отдел,Ед. продажи,Стоимость (руб.)
4638,Лечение в стационаре 0-й категории,Услуга,Стационар,,,единица,3000.0
4782,Лечение в стационаре 0-й категории - 1 час,Услуга,Терапия,,,единица,125.0
4476,Лечение в стационаре 1-й категории,Услуга,Терапия,,,единица,6000.0
4976,Лечение в стационаре 1-й категории -до 12 часов,Услуга,Терапия,,,единица,3000.0
4478,Лечение в стационаре 2-й категории,Услуга,Терапия,,,единица,9000.0
4480,Лечение в стационаре 3 - й категории- 1 час,Услуга,Терапия,,,единица,500.0
4748,Лечение в стационаре 3-й категории,Услуга,Терапия,,,единица,12000.0
3274,лосьон для ушей Экопром Cliny,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,400.0
3110,Лосьон Доктор ВИК для ушей кошек и собак,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,300.0
4010,Люминисцентная диагностика,Услуга,Манипуляции,,,единица,300.0
4012,Лямблиоз ПЦР,Услуга,Манипуляции,,,единица,1500.0
4014,Лямблиоз ПЦР,Услуга,Манипуляции,,,единица,1400.0
4814,Макротромбоцитопения (MTC) собак,Услуга,Лабораторные анализы,,,единица,3300.0
2512,Мальт паста тамачи,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,400.0
3300,Масло дикого камчатского лосося омега 3,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,400.0
2960,Масло дикого камчатского лосося с астаксантином,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,400.0
4706,масло свд для животных 5 %,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,2350.0
4704,"Масло свд для животных,1 %-10 мл",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,1800.0
4016,Массаж мочевого пузыря,Услуга,Манипуляции,,,единица,300.0
4568,Мастэктомия билатеральная 1 категории,Услуга,Хирургия,,,единица,10100.0
4570,Мастэктомия билатеральная 2 категории,Услуга,Хирургия,,,единица,12100.0
4572,Мастэктомия билатеральная 3 категории,Услуга,Хирургия,,,единица,17300.0
4574,Мастэктомия регионарная 1 категории,Услуга,Хирургия,,,единица,3900.0
4576,Мастэктомия регионарная 2 категории,Услуга,Хирургия,,,единица,5500.0
4578,Мастэктомия регионарная 3 категории,Услуга,Хирургия,,,единица,7000.0
4580,Мастэктомия унилатеральная 1 категории,Услуга,Хирургия,,,единица,7000.0
4582,Мастэктомия унилатеральная 2 категории,Услуга,Хирургия,,,единица,9000.0
4584,Мастэктомия унилатеральная 3 категории,Услуга,Хирургия,,,единица,12000.0
4018,Микоплазмоз spp.,Услуга,Манипуляции,,,единица,1000.0
4020,Микроскопия мазка из НСП (ВЦ),Услуга,Манипуляции,,,единица,600.0
4022,Микроскопия мазка крови на пироплазмоз (ВЦ),Услуга,Манипуляции,,,единица,1000.0
4024,Микроскопия мазка с кожи (ВЦ),Услуга,Манипуляции,,,единица,600.0
4026,Микроскопия мазка эктопаразиты (ВЦ),Услуга,Манипуляции,,,единица,600.0
4028,Микроскопия нативного ректального мазка (ВЦ),Услуга,Манипуляции,,,единица,600.0
2956,Милоджик УРО Д-манноза+ клюква (для мелких собак и кошек),Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,700.0
2532,Мирапентин (габапентин) 60мл,Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,800.0
2260,"Мнямс -Деликатес для соб- стриплойн по англ,75 г",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,150.0
4934,"мнямс -паштет из индейки""комфортное пищеварение""",Товар с учетом,товары,,"Услуги (НДС не облагается, УСН доход)",шт,230.0
4936,"мнямс паштет из кролика ""Касуэла по мадридски""",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,230.0
4932,"Мнямс паштет из телятины ""Асадо по- аргентински""",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,230.0
4930,"Мнямс паштет из телятины ""Террин пр- версальски"",200г",Товар с учетом,товары,,,шт,230.0
2258,"Мнямс-деликатес для соб : миньон по- фламанд, 75 г",Товар с учетом,Медматериалы,Лечение,"Товары (НДС 5%, УСН доход)",шт,150.0
4816,"Монж д/кошек гастро итестинал,100 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4872,"монж, д/кошек,уринари струвит,100 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4818,"Монж, д/собак, гастроинтестинал, 150 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4820,"Монж, д/собак, гастроинтестинал,400 г",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,500.0
4876,"монж, д/собак,дерматозис, 150 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
4868,"монж,д/ кошек, гастроинтестинал,1.5 кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,3000.0
4870,"монж,д/ кошек, ренал,1.5 кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,3000.0
4866,"монж,д/кошек, дерматозис, 100 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4874,"монж,д/кошек, уринари струвит,1, 5 кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,3000.0
4878,"монж,д/собак, гастроитенстинал, 2 кг",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,3500.0
4822,"Монж,д/собак, рекавери,150 г",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,200.0
4880,"Монж,д/собак, ренал и оксалат,150 гр",Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,250.0
4726,Мультикан 6,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
4724,Мультикан 8,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
4730,Мультифел 4,Товар,Вакцины,Лечение,"Товары (НДС 5%, УСН доход)",доза,0.0
4842,Мусс СкинВет со скваленом,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт,950.0
3134,набор для сбора мочи б/конс,Товар с учетом,товары,,"Товары (НДС 5%, УСН доход)",шт.,200.0
4586,Наложение косметического шва кошке и собаке до 10кг,Услуга,Хирургия,,,единица,1000.0
4588,Наложение косметического шва собаке свыше 10кг,Услуга,Хирургия,,,единица,1300.0
4030,"Наружная обработка спреем, каплями, мазью 1кат.",Услуга,Манипуляции,,,единица,400.0
4032,"Наружная обработка спреем, каплями, мазью 2кат.",Услуга,Манипуляции,,,единица,500.0
